Time,Type,Value
60604616,BtnUp,Down
60804271,BtnDown,Down
61138291,BtnUp,Down
61372022,BtnDown,Down
61622462,BtnUp,Down
62022115,BtnDown,Left
62254547,BtnUp,Left
62487878,BtnDown,Down
62754916,BtnUp,Down
62971457,BtnDown,Down
63237787,BtnUp,Down
63320670,BtnDown,Left
63538263,BtnUp,Left
63770438,BtnDown,Left
64022357,BtnUp,Left
64220471,BtnDown,Down
64439784,BtnUp,Down
64572145,BtnDown,Left
64855309,BtnUp,Left
65039024,BtnDown,Down
65322433,BtnUp,Down
65440632,BtnDown,Left
65705668,BtnUp,Left
65938997,BtnDown,Down
66221964,BtnUp,Down
66421146,BtnDown,Right
66755619,BtnUp,Right
67570649,BtnDown,Left
67819938,BtnUp,Left
68221014,BtnDown,Down
68537728,BtnUp,Down
68702901,BtnDown,Left
69071767,BtnUp,Left
69272867,BtnDown,Left
69555318,BtnUp,Left
69771463,BtnDown,Down
70054950,BtnUp,Down
70321099,BtnDown,Left
70638497,BtnUp,Left
70820756,BtnDown,Down
71204264,BtnUp,Down
71354690,BtnDown,Left
71654117,BtnUp,Left
71737491,BtnDown,Down
71953141,BtnUp,Down
72219799,BtnDown,Right
72453019,BtnUp,Right
72621034,BtnDown,Down
72920941,BtnUp,Down
73053101,BtnDown,Left
73336362,BtnUp,Left
73453449,BtnDown,Down
73754131,BtnUp,Down
73838128,BtnDown,Right
74087671,BtnUp,Right
74288696,BtnDown,Down
74569954,BtnUp,Down
74902896,BtnDown,Left
75136173,BtnUp,Left
75636310,BtnDown,Left
75869370,BtnUp,Left
76002371,BtnDown,Down
76287257,BtnUp,Down
76453317,BtnDown,Left
76753755,BtnUp,Left
76886183,BtnDown,Down
77121444,BtnUp,Down
77371272,BtnDown,Left
77620334,BtnUp,Left
77769271,BtnDown,Down
78020029,BtnUp,Down
78152665,BtnDown,Left
78419190,BtnUp,Left
78635536,BtnDown,Left
78835205,BtnUp,Left
78986772,BtnDown,Down
79220057,BtnUp,Down
79353266,BtnDown,Left
